"KOD","USTAV","FAKULTA","PRIJMENI","JMENO","TITULPRED","TITULZA"
"12486","32-KAM","11320",Klazar,Martin,doc. RNDr.,Dr.
"13035","32-KFA","11320",Klabzuba,J.,,
"12487","32-KMF","11320",Kindl,Dobroslav,,
"12488","32-KSI","11320",Kindler,Evžen,prof. PhDr. RNDr.,
"12489","32-KJP","11320",Kilbride,Ian Stephen,Mgr.,
"12490","32-KA","11320",Kepka,Tomáš,prof. RNDr.,DrSc.
"13036","32-KA","11320",Kechlibar,Marian,RNDr.,Ph.D.
"12491","32-KDM","11320",Kašpar,Jan,RNDr.,CSc.
"12492","32-STUD","11320",Karlík,Miroslav,prof. RNDr.,Dr.
"12493","32-KDM","11320",Karger,Adolf,prof. RNDr.,DrSc.
"13037","32-KDSS","11320",Kára,Jan,RNDr.,Ph.D.
"12494","32-KCHFO","11320",Kapsa,Vojtěch,RNDr.,CSc.
"12495","32-KMA","11320",Kaplický,Petr,doc. Mgr.,Ph.D.
"12503","32-IUUK","11320",Bálek,Martin,Mgr.,
"11663","32-KNM","11320",Maršálek,Lukáš,Mgr.,
"11664","32-KDM","11320",Slavík,Antonín,doc. RNDr.,Ph.D.
"11665","32-KDM","11320",Otruba,Karel,Mgr.,
"13059","32-KMF","11320",Šubrt,Evžen,Mgr.,Ph.D.
"11666","32-#EXT","11320",Čižmár,Ján,Prof. RNDr.,Ph.D.
"11667","32-#EXT","11320",Nádeník,Zbyněk,Prof. RNDr.,DrSc.
"11668","32-KNM","11320",Hnětynková,Iveta,doc. RNDr.,Ph.D.
"11669","32-MUUK","11320",Zima,Petr,Mgr.,
"11670","32-KSVI","11320",Jiroutek,Pavel,RNDr.,
"11671","32-KTV","11320",Brož,Jaroslav,Mgr.,
"13061","32-KTV","11320",Pravečková,Petra,Mgr.,Ph.D.
"11673","32-CVUT","11320",Fořt,Jaroslav,Prof. Ing.,CSc.
"11674","32-KA","11320",Němec,Petr,prof. RNDr. Ing.,DrSc.
"13069","32-KMF","11320",Labuta,Jan,RNDr.,Ph.D.
"13075","32-KFPP","11320",Cabala,Miloš,Mgr.,Ph.D.
"13082","32-KFPP","11320",Richterová,Ivana,Mgr.,Ph.D.
"13097","32-AUUK","11320",Pecháček,Tomáš,Mgr.,Ph.D.
"13110","32-KFPP","11320",Havlíček,Josef,Mgr.,Ph.D.
"13112","32-KCHFO","11320",Žídek,Karel,RNDr.,Ph.D.
